"article";"id";"repository";"license_name";"repository_type";"repository_re3data";"fuji_percent";"fuji_percent_f";"fuji_percent_a";"fuji_percent_i";"fuji_percent_r";"fuji_percent_f1";"fuji_percent_f2";"fuji_percent_f3";"fuji_percent_f4";"fuji_percent_a1";"fuji_percent_i1";"fuji_percent_i2";"fuji_percent_i3";"fuji_percent_r1";"fuji_percent_r1_1";"fuji_percent_r1_2";"fuji_percent_r1_3";"fuji_FsF_F1_01D";"fuji_FsF_F1_02D";"fuji_FsF_F2_01M";"fuji_FsF_F3_01M";"fuji_FsF_F4_01M";"fuji_FsF_A1_01M";"fuji_FsF_A1_02M";"fuji_FsF_A1_03D";"fuji_FsF_I1_01M";"fuji_FsF_I2_01M";"fuji_FsF_I3_01M";"fuji_FsF_R1_01MD";"fuji_FsF_R1.1_01M";"fuji_FsF_R1.2_01M";"fuji_FsF_R1.3_01M";"fuji_FsF_R1.3_02D";"fair_enough_score";"fair_enough_score_total";"fair_enough_score_percent";"fair_enough_score_metrics_count";"fair_enough_score_metrics_percent";"fair_enough_xml_document";"fair_enough_Gen2_FM_F1B_metadata";"fair_enough_Gen2_FM_F1A";"fair_enough_Gen2_FM_F2B";"fair_enough_Gen2_FM_F2A";"fair_enough_Gen2_FM_F3_data";"fair_enough_Gen2_FM_F3_metadata";"fair_enough_Gen2_FM_F4";"fair_enough_Gen2_FM_A1.1_data";"fair_enough_Gen2_FM_A1.1_metadata";"fair_enough_Gen2_FM_A1.2_data";"fair_enough_Gen2_FM_A1.2_metadata";"fair_enough_Gen2_FM_A2";"fair_enough_Gen2_FM_I1B_data";"fair_enough_Gen2_FM_I1A_data";"fair_enough_Gen2_FM_I1B_metadata";"fair_enough_Gen2_FM_I1A_metadata";"fair_enough_Gen2_FM_I2B";"fair_enough_Gen2_FM_I2A";"fair_enough_Gen2_FM_I3";"fair_enough_Gen2_FM_R1.1_metadata";"fair_enough_Gen2_FM_R1.1_data";"fair_enough_f1";"fair_enough_f2";"fair_enough_f3";"fair_enough_f4";"fair_enough_a1.1";"fair_enough_a1.2";"fair_enough_a2";"fair_enough_i1";"fair_enough_i2";"fair_enough_i3";"fair_enough_r1.1";"fair_checker_score";"checker_percent_f";"checker_percent_a";"checker_percent_i";"checker_percent_r";"fair_checker_f1";"fair_checker_f2";"fair_checker_a1.1";"fair_checker_a1.2";"fair_checker_i1";"fair_checker_i2";"fair_checker_i3";"fair_checker_r1.1";"fair_checker_r1.2";"fair_checker_r1.3";"fair_checker_F1A";"fair_checker_F1B";"fair_checker_F2A";"fair_checker_F2B";"fair_checker_A1.1";"fair_checker_A1.2";"fair_checker_I1";"fair_checker_I2";"fair_checker_I3";"fair_checker_R1.1";"fair_checker_R1.2";"fair_checker_R1.3"
"10.1093/scan/nsab109";"https://osf.io/r7g9q/";"OSF";"CC BY";"general-purpose repository";"Open Science Framework";37,5;42,86;33,33;25;40;50;50;0;50;33,33;50;0;0;25;100;50;0;1;0;1;0;1;0;1;0;1;0;0;1;2;1;0;0;11;22;50;7;31,82;NA;0;1;1;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;50;100;0;0;50;0;0;50;0;50;0;70,83;75;100;33,33;83,33;100;50;100;100;50;50;0;100;100;50;2;2;1;1;2;2;1;1;0;2;2;1
"10.1098/rsos.201494";"https://osf.io/738yf/";"OSF";"CC0";"general-purpose repository";"Open Science Framework";4,17;14,29;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;22;13,64;2;9,09;NA;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;50;0;0;0;0;0;0;37,5;50;50;33,33;16,67;50;50;100;0;50;50;0;0;0;50;2;0;1;1;2;0;1;1;0;0;0;1
"10.1098/rsos.210155";"https://osf.io/ftb9c/";"OSF";"NULL";"general-purpose repository";"Open Science Framework";4,17;14,29;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;22;13,64;2;9,09;NA;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;50;0;0;0;0;0;0;37,5;50;50;33,33;16,67;50;50;100;0;50;50;0;0;0;50;2;0;1;1;2;0;1;1;0;0;0;1
"10.1098/rspb.2021.0328";"https://doi.org/10.5061/dryad.66t1g1k27";"DRYAD";"CC0";"general-purpose repository";"DRYAD";66,67;100;100;50;40;100;100;100;100;100;100;0;0;25;50;50;50;1;1;2;1;2;1;1;1;2;0;0;1;1;1;1;0;17;22;77,27;15;68,18;NA;1;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;0;1;1;0;1;100;100;100;0;100;100;0;50;50;50;50;91,67;87,5;100;83,33;100;100;75;100;100;50;100;100;100;100;100;2;2;1;2;2;2;1;2;2;2;2;2
"10.1098/rsta.2020.0202";"https://oar.ptb.de/resources/show/10.7795/710.20201113";"PTB-OAR";"CC BY";"general-purpose repository";"PTB-OAR";35,42;57,14;50;0;30;50;100;0;50;50;0;0;0;0;100;50;0;1;0;2;0;1;0,5;1;0;0;0;0;0;2;1;0;0;3;22;13,64;2;9,09;NA;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;50;0;0;0;0;0;0;16,67;25;50;0;0;50;0;100;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0
"10.1111/medu.14596";"https://osf.io/92swt/?view_only=faec41999e4848ef9535139dfe982c1c";"OSF";"CC BY";"general-purpose repository";"Open Science Framework";52,08;71,43;50;50;40;100;50;0;100;50;100;0;0;25;100;50;0;1;1;1;0;2;0,5;1;0;2;0;0;1;2;1;0;0;11;22;50;7;31,82;NA;0;1;1;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;50;100;0;0;50;0;0;50;0;50;0;70,83;75;100;33,33;83,33;100;50;100;100;50;50;0;100;100;50;2;2;1;1;2;2;1;1;0;2;2;1
"10.1136/bmjopen-2021-053096";"https://doi.org/10.5281/zenodo.4669937";"Zenodo";"CC BY";"general-purpose repository";"Zenodo";79,17;100;100;75;60;100;100;100;100;100;100;0;100;50;100;50;50;1;1;2;1;2;1;1;1;2;0;1;2;2;1;0;1;19;22;86,36;15;68,18;NA;1;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;0;1;1;0;1;100;100;100;0;100;100;0;50;50;50;50;91,67;87,5;100;83,33;100;100;75;100;100;50;100;100;100;100;100;2;2;1;2;2;2;1;2;2;2;2;2
"10.1158/2159-8290.CD-21-0276";"https://osf.io/bupge/";"OSF";"NULL";"general-purpose repository";"Open Science Framework";29,17;42,86;33,33;25;20;50;50;0;50;33,33;50;0;0;25;0;50;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;0;10;22;45,45;7;31,82;NA;0;1;1;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;50;100;0;0;50;0;0;50;0;50;0;54,17;75;50;33,33;50;100;50;100;0;50;50;0;0;100;50;2;2;1;1;2;0;1;1;0;0;2;1
"10.1186/s12879-021-06829-7";"https://osf.io/er6b8/";"OSF";"NULL";"general-purpose repository";"Open Science Framework";4,17;14,29;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;22;13,64;2;9,09;NA;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;50;0;0;0;0;0;0;16,67;25;50;0;0;50;0;100;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0
"10.1186/s12885-021-08186-9";"https://doi.org/10.6084/m9.figshare.14524716.v1";"figshare";"CC BY;CC0";"general-purpose repository";"figshare";70,83;100;66,67;75;50;100;100;100;100;66,67;100;0;100;25;100;50;50;1;1;2;1;2;0;1;1;2;0;1;1;2;1;0;1;17;22;77,27;15;68,18;NA;1;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;0;1;1;0;1;100;100;100;0;100;100;0;50;50;50;50;91,67;87,5;100;83,33;100;100;75;100;100;50;100;100;100;100;100;2;2;1;2;2;2;1;2;2;2;2;2
