"article";"id";"repository";"license_name";"repository_type";"repository_re3data";"fuji_percent";"fuji_percent_f";"fuji_percent_a";"fuji_percent_i";"fuji_percent_r";"fuji_percent_f1";"fuji_percent_f2";"fuji_percent_f3";"fuji_percent_f4";"fuji_percent_a1";"fuji_percent_i1";"fuji_percent_i2";"fuji_percent_i3";"fuji_percent_r1";"fuji_percent_r1_1";"fuji_percent_r1_2";"fuji_percent_r1_3";"fuji_FsF_F1_01D";"fuji_FsF_F1_02D";"fuji_FsF_F2_01M";"fuji_FsF_F3_01M";"fuji_FsF_F4_01M";"fuji_FsF_A1_01M";"fuji_FsF_A1_02M";"fuji_FsF_A1_03D";"fuji_FsF_I1_01M";"fuji_FsF_I2_01M";"fuji_FsF_I3_01M";"fuji_FsF_R1_01MD";"fuji_FsF_R1.1_01M";"fuji_FsF_R1.2_01M";"fuji_FsF_R1.3_01M";"fuji_FsF_R1.3_02D";"fair_enough_score";"fair_enough_score_total";"fair_enough_score_percent";"fair_enough_score_metrics_count";"fair_enough_score_metrics_percent";"fair_enough_xml_document";"fair_enough_Gen2_FM_F1B_metadata";"fair_enough_Gen2_FM_F1A";"fair_enough_Gen2_FM_F2B";"fair_enough_Gen2_FM_F2A";"fair_enough_Gen2_FM_F3_data";"fair_enough_Gen2_FM_F3_metadata";"fair_enough_Gen2_FM_F4";"fair_enough_Gen2_FM_A1.1_data";"fair_enough_Gen2_FM_A1.1_metadata";"fair_enough_Gen2_FM_A1.2_data";"fair_enough_Gen2_FM_A1.2_metadata";"fair_enough_Gen2_FM_A2";"fair_enough_Gen2_FM_I1B_data";"fair_enough_Gen2_FM_I1A_data";"fair_enough_Gen2_FM_I1B_metadata";"fair_enough_Gen2_FM_I1A_metadata";"fair_enough_Gen2_FM_I2B";"fair_enough_Gen2_FM_I2A";"fair_enough_Gen2_FM_I3";"fair_enough_Gen2_FM_R1.1_metadata";"fair_enough_Gen2_FM_R1.1_data";"fair_enough_f1";"fair_enough_f2";"fair_enough_f3";"fair_enough_f4";"fair_enough_a1.1";"fair_enough_a1.2";"fair_enough_a2";"fair_enough_i1";"fair_enough_i2";"fair_enough_i3";"fair_enough_r1.1";"fair_checker_score";"checker_percent_f";"checker_percent_a";"checker_percent_i";"checker_percent_r";"fair_checker_f1";"fair_checker_f2";"fair_checker_a1.1";"fair_checker_a1.2";"fair_checker_i1";"fair_checker_i2";"fair_checker_i3";"fair_checker_r1.1";"fair_checker_r1.2";"fair_checker_r1.3";"fair_checker_F1A";"fair_checker_F1B";"fair_checker_F2A";"fair_checker_F2B";"fair_checker_A1.1";"fair_checker_A1.2";"fair_checker_I1";"fair_checker_I2";"fair_checker_I3";"fair_checker_R1.1";"fair_checker_R1.2";"fair_checker_R1.3"
"10.1093/bioinformatics/btab238";"https://data.4dnucleome.org/files-fastq/4DNFI1F6ZLAO/";"4D Nucleome Consortium data portal";"NULL";"disciplinary repository";"4D Nucleome Consortium data portal";4,17;14,29;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;22;22,73;6;27,27;NA;0;1;1;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;50;100;0;0;50;0;0;50;0;0;0;16,67;25;50;0;0;50;0;100;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0
"10.3389/fimmu.2020.609891";"http://www.addgene.org/129027/";"Addgene";"NULL";"disciplinary repository";"Addgene";14,58;35,71;33,33;0;0;50;25;0;50;33,33;0;0;0;0;0;0;0;1;0;0,5;0;1;0;1;0;0;0;0;0;0;0;0;0;3;22;13,64;6;27,27;NA;0;1;1;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;50;100;0;0;50;0;0;50;0;0;0;16,67;25;50;0;0;50;0;100;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0
"10.1038/s41467-021-24086-9";"https://www.ebi.ac.uk/biostudies/studies/S-BSST630";"BioStudies";"NULL";"disciplinary repository";"BioStudies";18,75;35,71;33,33;0;10;50;25;0;50;33,33;0;0;0;25;0;0;0;1;0;0,5;0;1;0;1;0;0;0;0;1;0;0;0;0;9;22;40,91;6;27,27;NA;0;1;1;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;50;100;0;0;50;0;0;50;0;0;0;50;62,5;50;50;33,33;50;75;100;0;50;100;0;0;0;100;2;0;1;2;2;0;1;2;0;0;0;2
"10.1038/s41467-021-26706-w";"https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=2033292&DatabaseToSearch=Published";"CCDC Karlsruhe";"NULL";"disciplinary repository";"CCDC Karlsruhe";4,17;14,29;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;22;9,09;6;27,27;NA;0;1;1;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;50;100;0;0;50;0;0;50;0;0;0;16,67;25;50;0;0;50;0;100;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0
"10.1038/s41586-021-04064-3";"http://csg.sph.umich.edu/willer/public/glgc-lipids2021/";"Center for Statistical Genetics";"NULL";"disciplinary repository";"Center for Statistical Genetics";4,17;14,29;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;22;13,64;2;9,09;NA;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;50;0;0;0;0;0;0;16,67;25;50;0;0;50;0;100;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0
"10.1038/s41388-021-02054-3";"https://doi.org/10.24433/CO.0121060.v1";"Code Ocean";"CC0";"general-purpose repository";"Code Ocean";54,17;85,71;66,67;25;40;100;100;0;100;66,67;50;0;0;25;100;50;0;1;1;2;0;2;1;1;0;1;0;0;1;2;1;0;0;7;22;31,82;11;50;NA;1;1;1;1;0;0;0;0;1;0;1;0;0;0;1;1;0;1;1;0;1;100;100;0;0;50;50;0;50;50;50;50;50;62,5;50;50;33,33;50;75;100;0;50;100;0;0;0;100;2;0;1;2;2;0;1;2;0;0;0;2
"10.1038/s41467-021-23143-7";"https://ddbj.nig.ac.jp/public/ddbj_database/dra/fastq/DRA010/DRA010491/";"DDBJ";"Status: Public";"disciplinary repository";"DDBJ";4,17;14,29;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;22;22,73;2;9,09;NA;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;50;0;0;0;0;0;0;16,67;25;50;0;0;50;0;100;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0
"10.1098/rspb.2021.0328";"https://doi.org/10.5061/dryad.66t1g1k27";"DRYAD";"CC0";"general-purpose repository";"DRYAD";66,67;100;100;50;40;100;100;100;100;100;100;0;0;25;50;50;50;1;1;2;1;2;1;1;1;2;0;0;1;1;1;1;0;17;22;77,27;15;68,18;NA;1;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;0;1;1;0;1;100;100;100;0;100;100;0;50;50;50;50;91,67;87,5;100;83,33;100;100;75;100;100;50;100;100;100;100;100;2;2;1;2;2;2;1;2;2;2;2;2
"10.1016/j.celrep.2021.109878";"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-10389/";"EMBL-EBI ArrayExpress";"NULL";"disciplinary repository";"ArrayExpress";18,75;35,71;33,33;0;10;50;25;0;50;33,33;0;0;0;25;0;0;0;1;0;0,5;0;1;0;1;0;0;0;0;1;0;0;0;0;9;22;40,91;6;27,27;NA;0;1;1;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;50;100;0;0;50;0;0;50;0;0;0;50;62,5;50;50;33,33;50;75;100;0;50;100;0;0;0;100;2;0;1;2;2;0;1;2;0;0;0;2
"10.1038/s41467-021-26826-3";"https://www.ebi.ac.uk/biostudies/studies/S-BSST699?query=S-BSST699";"EMBL-EBI BioStudies";"NULL";"disciplinary repository";"BioImage";18,75;35,71;33,33;0;10;50;25;0;50;33,33;0;0;0;25;0;0;0;1;0;0,5;0;1;0;1;0;0;0;0;1;0;0;0;0;9;22;40,91;6;27,27;NA;0;1;1;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;50;100;0;0;50;0;0;50;0;0;0;50;62,5;50;50;33,33;50;75;100;0;50;100;0;0;0;100;2;0;1;2;2;0;1;2;0;0;0;2
