"article";"best_identifier";"repository";"repository_type";"fuji_percent_f1";"fuji_percent_f2";"fuji_percent_i1";"fuji_percent_i2";"fuji_percent_i3";"fuji_FsF_F1_01D";"fuji_FsF_F1_02D";"fuji_FsF_F2_01M";"fuji_FsF_I1_01M";"fuji_FsF_I2_01M";"fuji_FsF_I3_01M";"fuji_FsF_R1.1_01M";"fuji_score";"fair_enough_f1";"fair_enough_f2";"fair_enough_i1";"fair_enough_i2";"fair_enough_i3";"fair_enough_r1.1";"fair_enough_Gen2_FM_F1A";"fair_enough_Gen2_FM_F1B_metadata";"fair_enough_Gen2_FM_F2A";"fair_enough_Gen2_FM_F2B";"fair_enough_Gen2_FM_I1A_metadata";"fair_enough_Gen2_FM_I1B_metadata";"fair_enough_Gen2_FM_I1A_data";"fair_enough_Gen2_FM_I1B_data";"fair_enough_Gen2_FM_I2A";"fair_enough_Gen2_FM_I2B";"fair_enough_Gen2_FM_I3";"fair_enough_Gen2_FM_R1.1_metadata";"fair_enough_Gen2_FM_R1.1_data";"fair_enough_score";"fair_checker_f1";"fair_checker_f2";"fair_checker_i1";"fair_checker_i2";"fair_checker_i3";"fair_checker_r1.1";"fair_checker_F1A";"fair_checker_F1B";"fair_checker_F2A";"fair_checker_F2B";"fair_checker_I1";"fair_checker_I2";"fair_checker_I3";"fair_checker_R1.1";"fair_checker_score"
"10.1093/bioinformatics/btab238";"https://data.4dnucleome.org/files-processed/4DNFIJRX16EK/#file-overview";"4D Nucleome Consortium data portal";"disciplinary repository";50;0;0;0;0;1;0;0;0;0;0;0;6,45;50;100;50;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;38,46;50;0;0;0;0;0;2;0;0;0;0;0;0;0;12,5
"10.3389/fimmu.2020.609891";"http://www.addgene.org/129027/";"Addgene";"disciplinary repository";50;25;0;0;0;1;0;0,5;0;0;0;0;9,68;50;100;50;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;38,46;50;0;0;0;0;0;2;0;0;0;0;0;0;0;12,5
"10.1038/s41467-021-24086-9";"https://www.ebi.ac.uk/biostudies/studies/S-BSST630";"BioStudies";"disciplinary repository";50;25;0;0;0;1;0;0,5;0;0;0;0;9,68;50;100;50;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;38,46;50;75;50;100;0;0;2;0;1;2;1;2;0;0;50
"10.1038/s41467-021-26706-w";"https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=2033292&DatabaseToSearch=Published";"CCDC Karlsruhe";"disciplinary repository";50;0;0;0;0;1;0;0;0;0;0;0;6,45;50;100;50;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;38,46;50;0;0;0;0;0;2;0;0;0;0;0;0;0;12,5
"10.1038/s41586-021-04064-3";"http://csg.sph.umich.edu/willer/public/glgc-lipids2021/";"Center for Statistical Genetics";"disciplinary repository";50;0;0;0;0;1;0;0;0;0;0;0;6,45;50;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;7,69;50;0;0;0;0;0;2;0;0;0;0;0;0;0;12,5
"10.1038/s41388-021-02054-3";"https://doi.org/10.24433/CO.0121060.v1";"Code Ocean";"general-purpose repository";100;100;50;0;0;1;1;2;1;0;0;2;45,16;100;100;50;50;50;50;1;1;1;1;1;1;0;0;1;0;1;0;1;69,23;50;75;50;100;0;0;2;0;1;2;1;2;0;0;50
"10.1038/s41467-021-23143-7";"https://ddbj.nig.ac.jp/public/ddbj_database/dra/fastq/DRA010/DRA010491/";"DDBJ";"disciplinary repository";50;0;0;0;0;1;0;0;0;0;0;0;6,45;50;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;7,69;50;0;0;0;0;0;2;0;0;0;0;0;0;0;12,5
"10.1038/s42003-021-02307-7";"https://doi.org/10.5061/dryad.pnvx0k6kr";"DRYAD";"general-purpose repository";100;100;100;0;0;1;1;2;2;0;0;1;45,16;100;100;50;50;50;50;1;1;1;1;1;1;0;0;1;0;1;0;1;69,23;100;75;50;100;100;100;2;2;1;2;1;2;2;2;87,5
"10.1016/j.ccell.2021.08.008";"https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-10633/";"EMBL-EBI ArrayExpress";"disciplinary repository";50;25;0;0;0;1;0;0,5;0;0;0;0;9,68;50;100;50;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;38,46;50;75;50;100;0;0;2;0;1;2;1;2;0;0;50
"10.1038/s41467-021-26826-3";"https://www.ebi.ac.uk/biostudies/studies/S-BSST699?query=S-BSST699";"EMBL-EBI BioStudies";"disciplinary repository";50;25;0;0;0;1;0;0,5;0;0;0;0;9,68;50;100;50;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;38,46;50;75;50;100;0;0;2;0;1;2;1;2;0;0;50
"10.1126/science.abh1139";"https://www.ebi.ac.uk/emdb/EMD-23466";"EMBL-EBI EMDB";"disciplinary repository";50;25;0;0;0;1;0;0,5;0;0;0;0;9,68;50;100;50;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;38,46;50;75;50;100;0;0;2;0;1;2;1;2;0;0;50
"10.3389/fmicb.2021.766527";"https://www.ebi.ac.uk/empiar/EMPIAR-10822/";"EMBL-EBI EMPIAR";"disciplinary repository";50;25;0;0;0;1;0;0,5;0;0;0;0;9,68;50;100;50;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;38,46;50;0;0;0;0;0;2;0;0;0;0;0;0;0;12,5
"10.1371/journal.pcbi.1009515";"https://www.ebi.ac.uk/ena/browser/view/PRJEB40670?show=reads";"EMBL-EBI ENA";"disciplinary repository";50;25;0;0;0;1;0;0,5;0;0;0;0;9,68;50;100;50;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;38,46;50;0;0;0;0;0;2;0;0;0;0;0;0;0;12,5
"10.1038/s41586-021-03767-x";"https://www.ebi.ac.uk/gwas/studies/GCST011074";"EMBL-EBI GWAS Catalog";"disciplinary repository";50;25;0;0;0;1;0;0,5;0;0;0;0;9,68;50;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;7,69;50;0;0;0;0;0;2;0;0;0;0;0;0;0;12,5
"10.1038/s41467-020-20877-8";"https://www.ebi.ac.uk/metabolights/MTBLS284/descriptors";"EMBL-EBI MetaboLights";"disciplinary repository";50;0;0;0;0;1;0;0;0;0;0;0;6,45;50;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;7,69;50;0;0;0;0;0;2;0;0;0;0;0;0;0;12,5
"10.3389/fmicb.2021.766527";"https://www.ebi.ac.uk/pride/archive/projects/PXD029319";"EMBL-EBI PRoteomics IDEntifications Database";"disciplinary repository";50;25;0;0;0;1;0;0,5;0;0;0;0;9,68;50;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;7,69;50;75;50;100;0;0;2;0;1;2;1;2;0;0;50
"10.3390/polym13030433";"https://dx.doi.org/10.17617/3.5k";"Edmond";"general-purpose repository";100;100;100;0;100;1;1;2;2;0;1;2;58,06;100;100;50;50;50;0;1;1;1;1;1;1;0;0;1;0;1;0;0;61,54;100;50;50;50;100;100;2;2;1;1;1;1;2;2;75
"10.1021/acs.jmedchem.1c01264";"https://doi.org/10.23729/4d448eb0-c6ef-4b7d-a557-3758f5f68d47";"Fairdata.fi";"general-purpose repository";100;100;50;0;0;1;1;2;1;0;0;2;45,16;100;100;50;50;50;50;1;1;1;1;1;1;0;0;1;0;1;0;1;69,23;50;0;0;0;0;0;2;0;0;0;0;0;0;0;12,5
"10.1021/acscentsci.0c00679";"https://gnps.ucsd.edu/ProteoSAFe/status.jsp?task=628bd0896fad4eae91f6be5f12373d25";"GNPS";"disciplinary repository";50;0;0;0;0;1;0;0;0;0;0;0;6,45;50;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;7,69;50;0;0;0;0;0;2;0;0;0;0;0;0;0;12,5
"10.1186/s13073-021-00925-8";"https://github.com/saezlab/combiMS/tree/master/data/phosphos_raw_clean";"GitHub";"general-purpose repository";50;0;0;0;0;1;0;0;0;0;0;0;6,45;50;100;50;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;38,46;50;50;50;50;0;0;2;0;1;1;1;1;0;0;37,5
"10.1371/journal.pcbi.1009515";"https://itbgit.biologie.hu-berlin.de/dorel/phosphoproteomics_tnb_perturbations/-/blob/master/210113.proteinGroups.filteredNormalz.txt?expanded=true&viewer=simple";"GitLab";"general-purpose repository";50;25;50;0;0;1;0;0,5;1;0;0;0;16,13;50;100;50;0;50;0;1;0;1;1;1;1;0;0;0;0;1;0;0;46,15;50;50;50;50;0;0;2;0;1;1;1;1;0;0;37,5
"10.1016/j.patter.2021.100351";"https://doi.org/10.7910/DVN/CQHHEH";"Harvard Dataverse";"general-purpose repository";100;100;100;0;100;1;1;2;2;0;1;1;51,61;100;100;50;50;50;0;1;1;1;1;1;1;0;0;1;0;1;0;0;61,54;100;50;50;50;100;100;2;2;1;1;1;1;2;2;75
"10.3390/ijms22010462";"https://doi.org/doi:10.25345/C5NN4G";"MassIVE";"disciplinary repository";100;50;50;0;0;1;1;1;1;0;0;0;25,81;100;100;50;50;50;0;1;1;1;1;1;1;0;0;1;0;1;0;0;61,54;50;0;0;0;0;0;2;0;0;0;0;0;0;0;12,5
"10.1016/j.xcrm.2021.100291";"https://doi.org/10.17632/5n8df8jvk4.1";"Mendeley Data";"general-purpose repository";100;100;100;0;100;1;1;2;2;0;1;2;58,06;100;100;50;50;50;50;1;1;1;1;1;1;0;0;1;0;1;0;1;69,23;50;75;50;100;100;100;2;0;1;2;1;2;2;2;75
"10.15252/embj.2020107238";"https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST001673";"Metabolomics Workbench";"disciplinary repository";50;25;0;0;0;1;0;0,5;0;0;0;0;9,68;50;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;7,69;50;0;0;0;0;0;2;0;0;0;0;0;0;0;12,5
"10.1111/mec.16099";"https://www.ncbi.nlm.nih.gov/bioproject/PRJNA680013";"NCBI BioProject";"disciplinary repository";50;25;0;0;0;1;0;0,5;0;0;0;0;9,68;50;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;7,69;50;0;0;0;0;0;2;0;0;0;0;0;0;0;12,5
"10.1038/s41586-021-04081-2";"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE148792";"NCBI GEO";"disciplinary repository";50;25;0;0;0;1;0;0,5;0;0;0;0;9,68;50;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;7,69;50;0;0;0;0;0;2;0;0;0;0;0;0;0;12,5
"10.1038/s41598-021-90145-2";"https://www.ncbi.nlm.nih.gov/nuccore/KT587350";"NCBI GenBank";"disciplinary repository";50;0;0;0;0;1;0;0;0;0;0;0;6,45;50;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;7,69;50;0;0;0;0;0;2;0;0;0;0;0;0;0;12,5
"10.3390/genes12081236";"https://www.ncbi.nlm.nih.gov/nuccore/MZ474965.1";"NCBI Nucleotide";"disciplinary repository";50;0;0;0;0;1;0;0;0;0;0;0;6,45;50;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;7,69;50;0;0;0;0;0;2;0;0;0;0;0;0;0;12,5
"10.3390/ijms22052732";"https://www.ncbi.nlm.nih.gov/protein/NP_849148.2/";"NCBI Protein";"disciplinary repository";50;0;0;0;0;1;0;0;0;0;0;0;6,45;50;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;7,69;50;0;0;0;0;0;2;0;0;0;0;0;0;0;12,5
"10.1038/s42003-021-02307-7";"https://trace.ncbi.nlm.nih.gov/Traces/index.html?view=run_browser&acc=SRR12567753&display=data-access";"NCBI Sequence Read Archive";"disciplinary repository";50;25;0;0;0;1;0;0,5;0;0;0;0;9,68;50;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;7,69;50;0;0;0;0;0;2;0;0;0;0;0;0;0;12,5
"10.1016/j.neuroimage.2021.117951";"https://identifiers.org/neurovault.collection:7566";"NeuroVault";"disciplinary repository";50;25;50;100;100;1;0;0,5;1;1;1;2;41,94;50;100;50;50;50;0;1;0;1;1;1;1;0;0;1;0;1;0;0;53,85;100;50;50;50;100;100;2;2;1;1;1;1;2;2;75
"10.1016/j.cub.2021.04.043";"http://doi.org/10.17605/OSF.IO/YKM6X";"OSF";"general-purpose repository";100;50;100;0;0;1;1;1;2;0;0;0;32,26;100;100;50;0;50;0;1;1;1;1;1;1;0;0;0;0;1;0;0;53,85;100;50;50;50;0;0;2;2;1;1;1;1;0;0;50
"10.1371/journal.pone.0255800";"http://dx.doi.org/10.25532/OPARA-120";"OpARA";"general-purpose repository";100;100;50;0;0;1;1;2;1;0;0;2;45,16;100;100;50;50;50;50;1;1;1;1;1;1;0;0;1;0;1;0;1;69,23;50;0;0;0;0;0;2;0;0;0;0;0;0;0;12,5
"10.1016/j.neuroimage.2021.118758";"https://doi.org/10.18112/openneuro.ds003716.v1.0.0";"OpenNeuro";"disciplinary repository";100;50;50;0;0;1;1;1;1;0;0;0;25,81;100;100;50;50;50;0;1;1;1;1;1;1;0;0;1;0;1;0;0;61,54;100;75;50;100;0;100;2;2;1;2;1;2;0;2;75
"10.1038/s41586-021-04064-3";"https://www.pgscatalog.org/score/PGS000886/";"PGS Catalog";"disciplinary repository";50;25;0;0;0;1;0;0,5;0;0;0;0;9,68;50;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;7,69;50;0;0;0;0;0;2;0;0;0;0;0;0;0;12,5
"10.1098/rsta.2020.0202";"https://oar.ptb.de/resources/show/10.7795/710.20201113";"PTB-OAR";"general-purpose repository";50;100;0;0;0;1;0;2;0;0;0;2;32,26;50;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;7,69;50;0;0;0;0;0;2;0;0;0;0;0;0;0;12,5
"10.1371/journal.ppat.1009824";"https://www.sasbdb.org/data/SASDKW8/";"SASBDB";"disciplinary repository";50;0;0;0;0;1;0;0;0;0;0;0;6,45;50;100;50;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;38,46;50;0;0;0;0;0;2;0;0;0;0;0;0;0;12,5
"10.1002/14651858.CD015045";"https://doi.org/10.5281/zenodo.5377507";"Zenodo";"general-purpose repository";100;100;100;0;100;1;1;2;2;0;1;2;58,06;100;100;50;50;50;50;1;1;1;1;1;1;0;0;1;0;1;0;1;69,23;100;75;50;100;100;100;2;2;1;2;1;2;2;2;87,5
"10.1007/s11517-021-02393-z";"https://doi.org/10.25375/uct.9782798";"ZivaHub";"general-purpose repository";100;100;100;0;100;1;1;2;2;0;1;2;58,06;100;100;50;50;50;50;1;1;1;1;1;1;0;0;1;0;1;0;1;69,23;100;75;50;100;100;100;2;2;1;2;1;2;2;2;87,5
"10.1016/j.ajhg.2021.08.001";"https://www.deciphergenomics.org/patient/427511/overview/general";"decipher";"disciplinary repository";50;25;0;0;0;1;0;0,5;0;0;0;0;9,68;50;100;50;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;38,46;50;0;0;0;0;0;2;0;0;0;0;0;0;0;12,5
"10.1186/s13023-021-01986-z";"https://doi.org/10.6084/m9.figshare.15179134.v1";"figshare";"general-purpose repository";100;100;50;0;100;1;1;2;1;0;1;2;51,61;100;100;50;50;50;50;1;1;1;1;1;1;0;0;1;0;1;0;1;69,23;50;75;50;100;0;0;2;0;1;2;1;2;0;0;50
"10.1371/journal.pone.0247918";"https://doi.org/10.11588/data/FSPQL4";"heiDATA";"general-purpose repository";100;100;100;0;100;1;1;2;2;0;1;1;51,61;100;100;50;50;50;0;1;1;1;1;1;1;0;0;1;0;1;0;0;61,54;100;50;50;50;0;100;2;2;1;1;1;1;0;2;62,5
"10.1371/journal.ppat.1009775";"https://www.wwpdb.org/pdb?id=pdb_00006zue";"wwPDB";"disciplinary repository";50;25;0;0;0;1;0;0,5;0;0;0;0;9,68;50;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;7,69;50;0;0;0;0;0;2;0;0;0;0;0;0;0;12,5
