"article";"guid";"eva_score_rda_f1_01d";"eva_score_rda_f1_01m";"eva_score_rda_f1_02d";"eva_score_rda_f1_02m";"eva_score_rda_f2_01m";"eva_score_rda_f3_01m";"eva_score_rda_f4_01m";"eva_score_rda_a1_01m";"eva_score_rda_a1_02d";"eva_score_rda_a1_02m";"eva_score_rda_a1_03d";"eva_score_rda_a1_03m";"eva_score_rda_a1_04d";"eva_score_rda_a1_04m";"eva_score_rda_a1_05d";"eva_score_rda_a1_1_01d";"eva_score_rda_a1_1_01m";"eva_score_rda_a1_2_01d";"eva_score_rda_a2_01m";"eva_score_rda_i1_01d";"eva_score_rda_i1_01m";"eva_score_rda_i1_02d";"eva_score_rda_i1_02m";"eva_score_rda_i2_01d";"eva_score_rda_i2_01m";"eva_score_rda_i3_01d";"eva_score_rda_i3_01m";"eva_score_rda_i3_02d";"eva_score_rda_i3_02m";"eva_score_rda_i3_03m";"eva_score_rda_i3_04m";"eva_score_rda_r1_01m";"eva_score_rda_r1_1_01m";"eva_score_rda_r1_1_02m";"eva_score_rda_r1_1_03m";"eva_score_rda_r1_2_01m";"eva_score_rda_r1_2_02m";"eva_score_rda_r1_3_01d";"eva_score_rda_r1_3_01m";"eva_score_rda_r1_3_02d";"eva_score_rda_r1_3_02m";"eva_f1";"eva_f2";"eva_f3";"eva_f4";"eva_a1";"eva_a1.1";"eva_a1.2";"eva_a2";"eva_i1";"eva_i2";"eva_i3";"eva_r1";"eva_r1.1";"eva_r1.2";"eva_r1.3";"total_score"
"10.1136/bmjopen-2021-053096";"https://doi.org/10.5281/zenodo.4669937";100;100;0;0;87,5;100;100;100;100;85,7142857142857;100;85,7142857142857;100;100;0;100;100;0;50;100;0;0;0;0;0;0;0;0;0;0;0;87,5;0;0;0;0;0;100;0;100;100;50;87,5;100;100;83,93;100;0;50;25;0;0;87,5;0;0;75;46,25
"10.1186/s12903-021-01911-7";"https://doi.org/10.5281/zenodo.5159386";100;100;0;0;87,5;100;100;100;100;82,6086956521739;100;82,6086956521739;100;100;0;100;100;0;50;100;0;0;0;0;0;0;0;0;0;0;0;87,5;0;0;0;0;0;100;0;100;100;50;87,5;100;100;83,15;100;0;50;25;0;0;87,5;0;0;75;46,1
"10.1371/journal.pbio.3001149";"https://doi.org/10.5281/zenodo.4498214";100;100;0;0;87,5;100;100;100;100;84,6153846153846;100;84,6153846153846;100;100;0;100;100;0;50;100;0;0;0;0;0;0;0;0;0;0;0;87,5;0;0;0;0;0;100;0;100;100;50;87,5;100;100;83,65;100;0;50;25;0;0;87,5;0;0;75;46,2
"10.1371/journal.pcbi.1008630";"https://dx.doi.org/10.5281/zenodo.4064148";100;100;0;0;87,5;100;100;100;100;79,3103448275862;100;79,3103448275862;100;100;0;100;100;0;50;100;0;0;0;0;0;0;0;0;0;0;0;87,5;0;0;0;0;0;100;0;100;100;50;87,5;100;100;82,33;100;0;50;25;0;0;87,5;0;0;75;45,94
"10.1371/journal.pone.0245143";"https://doi.org/10.5281/zenodo.4049178";100;100;0;0;75;100;100;100;100;75;100;75;100;100;0;100;100;0;50;100;0;0;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;100;0;100;100;50;75;100;100;81,25;100;0;50;25;0;0;75;0;0;75;45,12
"10.1371/journal.pone.0249813";"https://doi.org/10.5281/zenodo.4135394";100;100;0;0;75;100;100;100;100;76,4705882352941;100;76,4705882352941;100;100;0;100;100;0;50;100;0;0;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;100;0;100;100;50;75;100;100;81,62;100;0;50;25;0;0;75;0;0;75;45,19
"10.1371/journal.pone.0251544";"https://doi.org/10.5281/zenodo.3718578";100;100;0;0;87,5;100;100;100;100;76,4705882352941;100;76,4705882352941;100;100;0;100;100;0;50;100;0;0;0;0;0;0;0;0;0;0;0;87,5;0;0;0;0;0;100;0;100;100;50;87,5;100;100;81,62;100;0;50;25;0;0;87,5;0;0;75;45,8
"10.1681/ASN.2020101528";"https://doi.org/10.5281/zenodo.4434363";100;100;0;0;87,5;100;100;100;100;78,5714285714286;100;78,5714285714286;100;100;0;100;100;0;50;100;0;0;0;0;0;0;0;0;0;0;0;87,5;0;0;0;0;0;100;0;100;100;50;87,5;100;100;82,14;100;0;50;25;0;0;87,5;0;0;75;45,91
"10.3389/fonc.2021.684713";"http://doi.org/10.5281/zenodo.4362503";100;100;0;0;87,5;100;100;100;100;85,7142857142857;100;85,7142857142857;100;100;0;100;100;0;50;100;0;0;0;0;0;0;0;0;0;0;0;87,5;0;0;0;0;0;100;0;100;100;50;87,5;100;100;83,93;100;0;50;25;0;0;87,5;0;0;75;46,25
"10.3390/ijms22116046";"http://doi.org/10.5281/zenodo.4884946";100;100;0;0;87,5;100;100;100;100;80,9523809523809;100;80,9523809523809;100;100;0;100;100;0;50;100;0;0;0;0;0;0;0;0;0;0;0;87,5;0;0;0;0;0;100;0;100;100;50;87,5;100;100;82,74;100;0;50;25;0;0;87,5;0;0;75;46,02
